company,date,% of capital
"CTT - Correios de Portugal, SA",2018-05-22,9.17
"CTT - Correios de Portugal, SA",2018-05-21,9.16
"CTT - Correios de Portugal, SA",2018-05-18,9.57
"CTT - Correios de Portugal, SA",2018-05-17,9.44
"CTT - Correios de Portugal, SA",2018-05-16,9.35
"CTT - Correios de Portugal, SA",2018-05-15,8.89
"CTT - Correios de Portugal, SA",2018-05-14,8.25
"CTT - Correios de Portugal, SA",2018-05-11,8.15
"CTT - Correios de Portugal, SA",2018-05-10,8.04
"CTT - Correios de Portugal, SA",2018-05-09,8.18
"CTT - Correios de Portugal, SA",2018-05-08,8.31
"CTT - Correios de Portugal, SA",2018-05-07,8.38
"CTT - Correios de Portugal, SA",2018-05-04,8.26
"CTT - Correios de Portugal, SA",2018-05-03,8.34
"CTT - Correios de Portugal, SA",2018-04-30,8.29
"CTT - Correios de Portugal, SA",2018-04-26,8.19
"CTT - Correios de Portugal, SA",2018-04-23,8.1
"CTT - Correios de Portugal, SA",2018-04-20,8.22
"CTT - Correios de Portugal, SA",2018-04-18,8.13
"CTT - Correios de Portugal, SA",2018-04-17,8.25
"CTT - Correios de Portugal, SA",2018-04-16,7.88
"CTT - Correios de Portugal, SA",2018-04-11,7.46
"CTT - Correios de Portugal, SA",2018-04-09,7.54
"CTT - Correios de Portugal, SA",2018-04-05,7.6
"CTT - Correios de Portugal, SA",2018-04-04,7.5
"CTT - Correios de Portugal, SA",2018-04-03,7.4
"CTT - Correios de Portugal, SA",2018-03-28,7.34
"CTT - Correios de Portugal, SA",2018-03-27,7.24
"CTT - Correios de Portugal, SA",2018-03-23,7.13
"CTT - Correios de Portugal, SA",2018-03-22,7.04
"CTT - Correios de Portugal, SA",2018-03-21,6.97
"CTT - Correios de Portugal, SA",2018-03-20,6.92
"CTT - Correios de Portugal, SA",2018-03-19,6.84
"CTT - Correios de Portugal, SA",2018-03-14,6.65
"CTT - Correios de Portugal, SA",2018-03-13,6.55
"CTT - Correios de Portugal, SA",2018-03-12,6.46
"CTT - Correios de Portugal, SA",2018-03-09,6.34
"CTT - Correios de Portugal, SA",2018-03-07,6.4
"CTT - Correios de Portugal, SA",2018-03-06,6.11
"CTT - Correios de Portugal, SA",2018-03-02,6.07
"CTT - Correios de Portugal, SA",2018-03-01,6.05
"CTT - Correios de Portugal, SA",2018-02-28,6.16
"CTT - Correios de Portugal, SA",2018-02-22,6.2
"CTT - Correios de Portugal, SA",2018-02-21,6.3
"CTT - Correios de Portugal, SA",2018-02-20,6.84
"CTT - Correios de Portugal, SA",2018-02-19,7
"CTT - Correios de Portugal, SA",2018-02-16,7.03
"CTT - Correios de Portugal, SA",2018-02-14,7.6
"CTT - Correios de Portugal, SA",2018-02-13,7.71
"CTT - Correios de Portugal, SA",2018-02-12,7.7
"CTT - Correios de Portugal, SA",2018-02-09,7.82
"CTT - Correios de Portugal, SA",2018-02-07,7.42
"CTT - Correios de Portugal, SA",2018-02-06,6.74
"CTT - Correios de Portugal, SA",2018-02-05,6.88
"CTT - Correios de Portugal, SA",2018-02-02,7.39
"CTT - Correios de Portugal, SA",2018-02-01,7.45
"CTT - Correios de Portugal, SA",2018-01-29,7.68
"CTT - Correios de Portugal, SA",2018-01-25,7.71
"CTT - Correios de Portugal, SA",2018-01-23,7.73
"CTT - Correios de Portugal, SA",2018-01-22,7.7
"CTT - Correios de Portugal, SA",2018-01-19,7.63
"CTT - Correios de Portugal, SA",2018-01-18,8.03
"CTT - Correios de Portugal, SA",2018-01-17,8.17
"CTT - Correios de Portugal, SA",2018-01-16,7.64
"CTT - Correios de Portugal, SA",2018-01-15,7.58
"CTT - Correios de Portugal, SA",2018-01-12,7.5
"CTT - Correios de Portugal, SA",2018-01-09,7.33
"CTT - Correios de Portugal, SA",2018-01-04,6.75
"CTT - Correios de Portugal, SA",2018-01-02,6.83
"CTT - Correios de Portugal, SA",2017-12-29,6.73
"CTT - Correios de Portugal, SA",2017-12-27,7.09
"CTT - Correios de Portugal, SA",2017-12-22,7.23
"CTT - Correios de Portugal, SA",2017-12-21,7.21
"CTT - Correios de Portugal, SA",2017-12-20,6.82
"CTT - Correios de Portugal, SA",2017-12-19,6.57
"CTT - Correios de Portugal, SA",2017-12-14,6.07
"CTT - Correios de Portugal, SA",2017-12-12,5.94
"CTT - Correios de Portugal, SA",2017-12-11,5.78
"CTT - Correios de Portugal, SA",2017-12-08,5.14
"CTT - Correios de Portugal, SA",2017-12-06,5.61
"CTT - Correios de Portugal, SA",2017-12-05,5.83
"CTT - Correios de Portugal, SA",2017-12-04,6.06
"CTT - Correios de Portugal, SA",2017-12-01,5.95
"CTT - Correios de Portugal, SA",2017-11-28,5.99
"CTT - Correios de Portugal, SA",2017-11-27,5.88
"CTT - Correios de Portugal, SA",2017-11-24,6.24
"CTT - Correios de Portugal, SA",2017-11-23,6.32
"CTT - Correios de Portugal, SA",2017-11-22,5.78
"CTT - Correios de Portugal, SA",2017-11-21,5.75
"CTT - Correios de Portugal, SA",2017-11-16,5.43
"CTT - Correios de Portugal, SA",2017-11-14,5.14
"CTT - Correios de Portugal, SA",2017-11-13,5.06
"CTT - Correios de Portugal, SA",2017-11-10,4.94
"CTT - Correios de Portugal, SA",2017-11-09,4.83
"CTT - Correios de Portugal, SA",2017-11-07,4.76
"CTT - Correios de Portugal, SA",2017-11-06,4.82
"CTT - Correios de Portugal, SA",2017-11-03,4.74
"CTT - Correios de Portugal, SA",2017-11-01,4.57
"CTT - Correios de Portugal, SA",2017-10-30,3.56
"CTT - Correios de Portugal, SA",2017-10-23,3.58
"CTT - Correios de Portugal, SA",2017-10-16,3.69
"CTT - Correios de Portugal, SA",2017-10-12,3.63
"CTT - Correios de Portugal, SA",2017-10-05,3.61
"CTT - Correios de Portugal, SA",2017-09-29,3.08
"CTT - Correios de Portugal, SA",2017-09-25,3.09
"CTT - Correios de Portugal, SA",2017-09-18,3.19
"CTT - Correios de Portugal, SA",2017-08-29,3.12
"CTT - Correios de Portugal, SA",2017-08-11,3.22
"CTT - Correios de Portugal, SA",2017-08-03,3.24
"CTT - Correios de Portugal, SA",2017-08-01,3.23
"CTT - Correios de Portugal, SA",2017-07-25,3.3
"CTT - Correios de Portugal, SA",2017-06-26,3.19
"CTT - Correios de Portugal, SA",2017-06-13,3.1
"CTT - Correios de Portugal, SA",2017-05-25,3.05
"CTT - Correios de Portugal, SA",2017-05-18,2.99
"CTT - Correios de Portugal, SA",2017-04-27,2.89
"CTT - Correios de Portugal, SA",2017-04-21,2.8
"CTT - Correios de Portugal, SA",2017-04-13,2.67
"CTT - Correios de Portugal, SA",2017-04-11,2.57
"CTT - Correios de Portugal, SA",2017-04-06,2.48
"CTT - Correios de Portugal, SA",2017-04-05,2.24
"CTT - Correios de Portugal, SA",2017-04-04,2.16
"CTT - Correios de Portugal, SA",2017-03-31,1.94
"CTT - Correios de Portugal, SA",2017-03-29,1.85
"CTT - Correios de Portugal, SA",2017-03-27,1.75
"CTT - Correios de Portugal, SA",2017-03-23,1.23
"CTT - Correios de Portugal, SA",2017-03-21,1.17
"CTT - Correios de Portugal, SA",2017-03-10,0.63
"CTT - Correios de Portugal, SA",2017-03-09,0.57
"CTT - Correios de Portugal, SA",2017-03-02,0.65
"CTT - Correios de Portugal, SA",2017-01-19,0.51
"CTT - Correios de Portugal, SA",2016-11-25,0.33
"CTT - Correios de Portugal, SA",2016-06-24,0.38
"CTT - Correios de Portugal, SA",2016-06-03,0.52
"CTT - Correios de Portugal, SA",2015-12-30,0.48
"CTT - Correios de Portugal, SA",2015-12-23,0.57
"CTT - Correios de Portugal, SA",2015-12-22,0.6
"CTT - Correios de Portugal, SA",2015-12-14,0.58
"CTT - Correios de Portugal, SA",2015-12-04,0.6
"CTT - Correios de Portugal, SA",2015-12-03,0.53
"CTT - Correios de Portugal, SA",2014-08-22,0.38
"CTT - Correios de Portugal, SA",2014-08-06,0.53
"EDP - Energias de Portugal, S.A.",2022-07-20,0.49
"EDP - Energias de Portugal, S.A.",2022-07-19,0.5
"EDP - Energias de Portugal, S.A.",2022-07-18,0.49
"EDP - Energias de Portugal, S.A.",2022-06-22,0.5
"EDP - Energias de Portugal, S.A.",2021-10-20,0.49
"EDP - Energias de Portugal, S.A.",2021-10-11,0.5
"EDP - Energias de Portugal, S.A.",2018-04-13,0.48
"EDP - Energias de Portugal, S.A.",2018-04-06,0.59
"EDP - Energias de Portugal, S.A.",2018-03-29,0.69
"EDP - Energias de Portugal, S.A.",2018-03-08,0.72
"EDP - Energias de Portugal, S.A.",2018-03-02,0.67
"EDP - Energias de Portugal, S.A.",2017-12-04,0.79
"EDP - Energias de Portugal, S.A.",2017-12-01,1.28
"EDP - Energias de Portugal, S.A.",2017-11-20,1.29
"EDP - Energias de Portugal, S.A.",2017-11-17,1.3
"EDP - Energias de Portugal, S.A.",2017-11-16,1.28
"EDP - Energias de Portugal, S.A.",2017-10-26,0.78
"EDP - Energias de Portugal, S.A.",2017-10-16,0.8
"EDP - Energias de Portugal, S.A.",2017-10-03,0.7
"EDP - Energias de Portugal, S.A.",2017-09-27,0.6
"EDP - Energias de Portugal, S.A.",2017-09-14,0.5
"EDP - Energias de Portugal, S.A.",2017-05-18,0.49
"EDP - Energias de Portugal, S.A.",2017-05-15,0.5
"EDP - Energias de Portugal, S.A.",2017-03-01,0.49
"EDP - Energias de Portugal, S.A.",2017-02-27,0.5
"EDP - Energias de Portugal, S.A.",2016-03-08,0.49
"EDP - Energias de Portugal, S.A.",2016-03-04,0.52
"EDP - Energias de Portugal, S.A.",2016-03-03,0.49
"EDP - Energias de Portugal, S.A.",2016-02-19,0.51
"EDP - Energias de Portugal, S.A.",2016-02-17,0.48
"EDP - Energias de Portugal, S.A.",2016-02-15,0.52
"EDP - Energias de Portugal, S.A.",2016-02-12,0.48
"EDP - Energias de Portugal, S.A.",2016-01-20,0.5
"EDP - Energias de Portugal, S.A.",2016-01-14,0.49
"EDP - Energias de Portugal, S.A.",2016-01-07,0.5
"EDP - Energias de Portugal, S.A.",2014-10-17,0.46
"EDP - Energias de Portugal, S.A.",2014-10-16,0.51
"EDP - Energias de Portugal, S.A.",2014-10-15,0.67
"EDP - Energias de Portugal, S.A.",2014-09-18,0.7
"EDP - Energias de Portugal, S.A.",2014-09-12,0.69
"EDP - Energias de Portugal, S.A.",2014-08-19,0.71
"EDP - Energias de Portugal, S.A.",2014-08-18,0.69
"EDP - Energias de Portugal, S.A.",2014-06-04,0.7
"EDP - Energias de Portugal, S.A.",2014-06-02,0.69
"EDP - Energias de Portugal, S.A.",2014-04-14,0.7
"EDP - Energias de Portugal, S.A.",2014-04-10,0.69
"EDP - Energias de Portugal, S.A.",2014-04-08,0.58
"EDP - Energias de Portugal, S.A.",2014-04-04,0.6
"EDP - Energias de Portugal, S.A.",2014-04-02,0.7
"EDP - Energias de Portugal, S.A.",2014-03-28,0.6
"EDP - Energias de Portugal, S.A.",2014-03-26,0.73
"EDP - Energias de Portugal, S.A.",2014-03-21,1.31
"EDP - Energias de Portugal, S.A.",2014-03-17,1.23
"EDP - Energias de Portugal, S.A.",2014-03-10,1.3
"EDP - Energias de Portugal, S.A.",2014-02-14,1.21
"EDP - Energias de Portugal, S.A.",2014-01-27,0.67
"EDP - Energias de Portugal, S.A.",2014-01-20,0.81
"EDP - Energias de Portugal, S.A.",2014-01-17,2.01
"EDP - Energias de Portugal, S.A.",2014-01-08,0.81
"EDP - Energias de Portugal, S.A.",2014-01-06,0.71
"EDP - Energias de Portugal, S.A.",2013-12-12,0.69
"EDP - Energias de Portugal, S.A.",2013-11-12,0.7
"EDP - Energias de Portugal, S.A.",2013-11-08,0.69
"EDP - Energias de Portugal, S.A.",2013-11-04,0.7
"EDP - Energias de Portugal, S.A.",2013-10-18,0.6
"EDP - Energias de Portugal, S.A.",2013-10-16,0.53
"EDP - Energias de Portugal, S.A.",2013-10-07,0.49
"EDP - Energias de Portugal, S.A.",2013-10-04,0.51
"EDP - Energias de Portugal, S.A.",2013-09-20,0.64
"EDP - Energias de Portugal, S.A.",2013-08-15,0.5
"Galp Energia, SGPS, SA",2023-04-17,0.58
"Galp Energia, SGPS, SA",2023-04-14,0.6
"Galp Energia, SGPS, SA",2023-04-12,0.59
"Galp Energia, SGPS, SA",2023-04-04,0.62
"Galp Energia, SGPS, SA",2023-03-30,0.56
"Galp Energia, SGPS, SA",2023-03-15,0.6
"Galp Energia, SGPS, SA",2023-02-14,0.52
"Galp Energia, SGPS, SA",2023-02-10,0.48
"Galp Energia, SGPS, SA",2023-01-23,0.59
"Galp Energia, SGPS, SA",2023-01-09,0.6
"Galp Energia, SGPS, SA",2022-12-07,0.59
"Galp Energia, SGPS, SA",2022-12-06,0.6
"Galp Energia, SGPS, SA",2022-12-05,0.59
"Galp Energia, SGPS, SA",2022-11-29,0.6
"Galp Energia, SGPS, SA",2022-11-11,0.59
"Galp Energia, SGPS, SA",2022-11-07,0.67
"Galp Energia, SGPS, SA",2022-10-27,0.77
"Galp Energia, SGPS, SA",2022-10-13,0.81
"Galp Energia, SGPS, SA",2022-10-11,1.2
"Galp Energia, SGPS, SA",2022-10-10,1.41
"Galp Energia, SGPS, SA",2022-10-04,1.49
"Galp Energia, SGPS, SA",2022-09-20,1.53
"Galp Energia, SGPS, SA",2022-09-19,1.52
"Galp Energia, SGPS, SA",2022-09-12,1.58
"Galp Energia, SGPS, SA",2022-09-08,1.71
"Galp Energia, SGPS, SA",2022-08-31,1.67
"Galp Energia, SGPS, SA",2022-08-29,2.14
"Galp Energia, SGPS, SA",2022-08-17,2.19
"Galp Energia, SGPS, SA",2022-08-01,1.67
"Galp Energia, SGPS, SA",2022-07-28,1.75
"Galp Energia, SGPS, SA",2022-07-27,1.62
"Galp Energia, SGPS, SA",2022-07-21,1.52
"Galp Energia, SGPS, SA",2022-07-08,1.42
"Galp Energia, SGPS, SA",2022-07-07,1.4
"Galp Energia, SGPS, SA",2022-07-06,1.41
"Galp Energia, SGPS, SA",2022-07-05,1.33
"Galp Energia, SGPS, SA",2022-06-30,0.79
"Galp Energia, SGPS, SA",2022-05-31,0.83
"Galp Energia, SGPS, SA",2022-05-30,0.79
"Galp Energia, SGPS, SA",2022-05-23,0.89
"Galp Energia, SGPS, SA",2022-05-20,0.9
"Galp Energia, SGPS, SA",2022-05-18,0.89
"Galp Energia, SGPS, SA",2022-05-12,0.9
"Galp Energia, SGPS, SA",2022-05-09,0.83
"Galp Energia, SGPS, SA",2022-05-06,0.79
"Galp Energia, SGPS, SA",2022-05-03,0.81
"Galp Energia, SGPS, SA",2022-04-14,0.7
"Galp Energia, SGPS, SA",2022-04-04,0.6
"Galp Energia, SGPS, SA",2022-04-01,0.59
"Galp Energia, SGPS, SA",2022-03-31,0.6
"Galp Energia, SGPS, SA",2022-03-30,0.59
"Galp Energia, SGPS, SA",2022-03-29,0.6
"Galp Energia, SGPS, SA",2022-03-07,0.53
"Galp Energia, SGPS, SA",2022-02-24,0.48
"Galp Energia, SGPS, SA",2022-02-23,0.51
"Galp Energia, SGPS, SA",2020-10-28,0.42
"Galp Energia, SGPS, SA",2020-10-27,0.51
"GREENVOLT - Energias Renováveis, S.A.",2023-04-25,1.48
"GREENVOLT - Energias Renováveis, S.A.",2023-04-18,1.51
"GREENVOLT - Energias Renováveis, S.A.",2023-04-03,1.4
"GREENVOLT - Energias Renováveis, S.A.",2023-03-07,0.9
"GREENVOLT - Energias Renováveis, S.A.",2023-03-02,0.84
"GREENVOLT - Energias Renováveis, S.A.",2023-02-27,0.72
"GREENVOLT - Energias Renováveis, S.A.",2023-02-17,0.61
"GREENVOLT - Energias Renováveis, S.A.",2023-02-15,0.98
"GREENVOLT - Energias Renováveis, S.A.",2023-02-14,1.01
"GREENVOLT - Energias Renováveis, S.A.",2023-02-03,0.51
"Jerónimo Martins - SGPS, SA",2021-01-04,0.48
"Jerónimo Martins - SGPS, SA",2020-12-16,0.5
"Jerónimo Martins - SGPS, SA",2020-12-01,0.49
"Jerónimo Martins - SGPS, SA",2020-10-16,0.5
"Jerónimo Martins - SGPS, SA",2020-09-04,0.49
"Jerónimo Martins - SGPS, SA",2020-08-18,0.59
"Jerónimo Martins - SGPS, SA",2020-07-31,0.69
"Jerónimo Martins - SGPS, SA",2020-07-14,0.7
"Jerónimo Martins - SGPS, SA",2020-07-07,0.6
"Jerónimo Martins - SGPS, SA",2020-06-29,0.5
"Jerónimo Martins - SGPS, SA",2019-06-19,0.49
"Jerónimo Martins - SGPS, SA",2019-05-28,0.5
"Jerónimo Martins - SGPS, SA",2019-03-25,0.33
"Jerónimo Martins - SGPS, SA",2019-03-21,0.57
"Jerónimo Martins - SGPS, SA",2019-02-28,0.62
"Jerónimo Martins - SGPS, SA",2019-02-25,0.59
"Jerónimo Martins - SGPS, SA",2019-01-18,0.61
"Jerónimo Martins - SGPS, SA",2018-12-12,0.59
"Jerónimo Martins - SGPS, SA",2018-12-03,0.62
"Jerónimo Martins - SGPS, SA",2018-11-26,0.57
"Jerónimo Martins - SGPS, SA",2018-11-23,0.6
"Jerónimo Martins - SGPS, SA",2018-11-07,0.5
"Jerónimo Martins - SGPS, SA",2017-04-18,0.34
"Jerónimo Martins - SGPS, SA",2017-03-29,0.58
"Jerónimo Martins - SGPS, SA",2017-03-08,0.6
"Jerónimo Martins - SGPS, SA",2017-02-09,0.5
"Jerónimo Martins - SGPS, SA",2017-02-07,0.49
"Jerónimo Martins - SGPS, SA",2017-01-03,0.55
"Jerónimo Martins - SGPS, SA",2016-12-09,0.7
"Jerónimo Martins - SGPS, SA",2016-11-17,0.6
"Jerónimo Martins - SGPS, SA",2016-10-21,0.5
"Jerónimo Martins - SGPS, SA",2016-09-07,0.49
"Jerónimo Martins - SGPS, SA",2016-09-02,0.5
"Jerónimo Martins - SGPS, SA",2016-08-31,0.39
"Jerónimo Martins - SGPS, SA",2016-04-19,0.49
"Jerónimo Martins - SGPS, SA",2016-02-18,0.51
"Jerónimo Martins - SGPS, SA",2015-08-28,0.54
"Jerónimo Martins - SGPS, SA",2015-03-06,0.6
"Jerónimo Martins - SGPS, SA",2015-02-23,0.5
"Mota-Engil, SGPS, SA",2020-11-30,0.49
"Mota-Engil, SGPS, SA",2020-11-26,0.59
"Mota-Engil, SGPS, SA",2020-11-20,0.67
"Mota-Engil, SGPS, SA",2020-11-17,0.77
"Mota-Engil, SGPS, SA",2020-11-12,0.89
"Mota-Engil, SGPS, SA",2020-11-10,0.97
"Mota-Engil, SGPS, SA",2020-11-09,1.04
"Mota-Engil, SGPS, SA",2020-11-04,1.16
"Mota-Engil, SGPS, SA",2020-10-30,1.28
"Mota-Engil, SGPS, SA",2020-10-26,1.32
"Mota-Engil, SGPS, SA",2020-10-21,1.22
"Mota-Engil, SGPS, SA",2020-10-19,1.13
"Mota-Engil, SGPS, SA",2020-10-15,1.01
"Mota-Engil, SGPS, SA",2020-10-13,0.94
"Mota-Engil, SGPS, SA",2020-09-25,0.81
"Mota-Engil, SGPS, SA",2020-09-22,0.73
"Mota-Engil, SGPS, SA",2020-09-16,0.6
"Mota-Engil, SGPS, SA",2020-09-04,0.5
"Mota-Engil, SGPS, SA",2020-07-07,0.49
"Mota-Engil, SGPS, SA",2020-06-26,0.59
"Mota-Engil, SGPS, SA",2020-06-10,0.6
"Mota-Engil, SGPS, SA",2020-06-01,0.51
"Mota-Engil, SGPS, SA",2020-05-08,0.48
"Mota-Engil, SGPS, SA",2020-05-07,0.98
"Mota-Engil, SGPS, SA",2020-05-06,0.48
"Mota-Engil, SGPS, SA",2020-04-28,0.54
"Mota-Engil, SGPS, SA",2019-02-04,0.47
"Mota-Engil, SGPS, SA",2018-11-22,0.58
"Mota-Engil, SGPS, SA",2018-06-01,0.47
"Mota-Engil, SGPS, SA",2018-05-25,0.5
"Mota-Engil, SGPS, SA",2018-04-25,0.49
"Mota-Engil, SGPS, SA",2018-04-18,0.5
"Mota-Engil, SGPS, SA",2018-01-25,0.49
"Mota-Engil, SGPS, SA",2018-01-04,0.59
"Mota-Engil, SGPS, SA",2018-01-03,1.01
"Mota-Engil, SGPS, SA",2017-12-27,1.14
"Mota-Engil, SGPS, SA",2017-12-13,1.15
"Mota-Engil, SGPS, SA",2017-11-24,1.05
"Mota-Engil, SGPS, SA",2017-11-23,0.55
"Mota-Engil, SGPS, SA",2017-11-21,1.04
"Mota-Engil, SGPS, SA",2017-11-16,1.13
"Mota-Engil, SGPS, SA",2017-11-09,1.18
"Mota-Engil, SGPS, SA",2017-11-02,1.29
"Mota-Engil, SGPS, SA",2017-10-24,1.3
"Mota-Engil, SGPS, SA",2017-10-04,1.21
"Mota-Engil, SGPS, SA",2017-10-03,1.14
"Mota-Engil, SGPS, SA",2017-09-07,0.6
"Mota-Engil, SGPS, SA",2017-08-11,0.51
"Mota-Engil, SGPS, SA",2017-08-02,1
"Mota-Engil, SGPS, SA",2017-07-18,1.01
"Mota-Engil, SGPS, SA",2017-05-11,0.51
"Mota-Engil, SGPS, SA",2017-05-08,0.96
"Mota-Engil, SGPS, SA",2017-05-03,1.1
"Mota-Engil, SGPS, SA",2017-04-25,1.2
"Mota-Engil, SGPS, SA",2017-04-19,1.28
"Mota-Engil, SGPS, SA",2017-04-13,1.4
"Mota-Engil, SGPS, SA",2017-04-12,1.47
"Mota-Engil, SGPS, SA",2016-09-20,1.54
"Mota-Engil, SGPS, SA",2016-08-31,2.02
"Mota-Engil, SGPS, SA",2016-08-18,2.13
"Mota-Engil, SGPS, SA",2016-08-08,2.22
"Mota-Engil, SGPS, SA",2016-08-02,2.32
"Mota-Engil, SGPS, SA",2016-07-15,2.42
"Mota-Engil, SGPS, SA",2016-07-14,2.53
"Mota-Engil, SGPS, SA",2016-07-11,2.42
"Mota-Engil, SGPS, SA",2016-07-08,1.91
"Mota-Engil, SGPS, SA",2016-06-30,1.82
"Mota-Engil, SGPS, SA",2016-06-21,1.9
"Mota-Engil, SGPS, SA",2016-04-01,2.02
"Mota-Engil, SGPS, SA",2016-01-04,2.03
"Mota-Engil, SGPS, SA",2015-12-22,2.31
"Mota-Engil, SGPS, SA",2015-11-24,2.21
"Mota-Engil, SGPS, SA",2015-11-11,2.2
"Mota-Engil, SGPS, SA",2015-10-28,2.13
"Mota-Engil, SGPS, SA",2015-10-26,2.23
"Mota-Engil, SGPS, SA",2015-10-12,2.1
"Mota-Engil, SGPS, SA",2015-10-08,2.18
"Mota-Engil, SGPS, SA",2015-10-02,2.21
"Mota-Engil, SGPS, SA",2015-09-30,2.13
"Mota-Engil, SGPS, SA",2015-09-15,2.01
"Mota-Engil, SGPS, SA",2015-08-27,1.91
"Mota-Engil, SGPS, SA",2015-08-26,1.76
"Mota-Engil, SGPS, SA",2015-08-21,1.63
"Mota-Engil, SGPS, SA",2015-08-10,1.11
"Mota-Engil, SGPS, SA",2015-07-15,1.08
"Mota-Engil, SGPS, SA",2015-06-16,1.11
"Mota-Engil, SGPS, SA",2015-06-09,1.02
"Mota-Engil, SGPS, SA",2015-06-02,0.91
"Mota-Engil, SGPS, SA",2015-05-29,0.81
"Mota-Engil, SGPS, SA",2015-05-21,0.72
"Mota-Engil, SGPS, SA",2015-03-17,0.6
"Mota-Engil, SGPS, SA",2015-03-03,0.5
"NOS, SGPS, S.A.",2023-04-19,0.6
"NOS, SGPS, S.A.",2021-05-11,0.57
"NOS, SGPS, S.A.",2021-04-07,1.05
"NOS, SGPS, S.A.",2021-03-17,1.07
"NOS, SGPS, S.A.",2021-01-26,0.57
"NOS, SGPS, S.A.",2021-01-12,1.06
"NOS, SGPS, S.A.",2020-12-14,1.07
"NOS, SGPS, S.A.",2020-10-05,0.57
"NOS, SGPS, S.A.",2020-10-02,1.06
"NOS, SGPS, S.A.",2020-09-24,1.15
"NOS, SGPS, S.A.",2020-09-22,1.24
"NOS, SGPS, S.A.",2020-09-18,1.33
"NOS, SGPS, S.A.",2020-09-03,1.45
"NOS, SGPS, S.A.",2020-08-25,1.55
"NOS, SGPS, S.A.",2020-08-11,1.65
"NOS, SGPS, S.A.",2020-08-07,1.66
"NOS, SGPS, S.A.",2020-07-30,1.64
"NOS, SGPS, S.A.",2020-07-23,1.74
"NOS, SGPS, S.A.",2020-07-03,1.85
"NOS, SGPS, S.A.",2020-06-30,1.86
"NOS, SGPS, S.A.",2020-06-22,1.9
"NOS, SGPS, S.A.",2020-06-16,1.83
"NOS, SGPS, S.A.",2020-06-10,1.71
"NOS, SGPS, S.A.",2020-06-05,1.62
"NOS, SGPS, S.A.",2020-06-02,1.51
"NOS, SGPS, S.A.",2020-05-28,1.42
"NOS, SGPS, S.A.",2020-05-14,1.31
"NOS, SGPS, S.A.",2020-05-08,1.21
"NOS, SGPS, S.A.",2020-03-31,0.7
"NOS, SGPS, S.A.",2020-03-26,1.18
"NOS, SGPS, S.A.",2020-03-23,1.29
"NOS, SGPS, S.A.",2020-02-28,1.32
