company,date,% of capital
"NOS, SGPS, S.A.",2020-02-21,1.2
"NOS, SGPS, S.A.",2019-05-29,0.7
"NOS, SGPS, S.A.",2018-12-17,0.61
"NOS, SGPS, S.A.",2017-11-29,0.51
"NOS, SGPS, S.A.",2013-11-05,0.74
"NOS, SGPS, S.A.",2013-11-04,0.66
"NOS, SGPS, S.A.",2013-10-30,0.57
"PHAROL, SGPS, S.A.",2018-06-11,0.49
"PHAROL, SGPS, S.A.",2018-05-02,0.51
"PHAROL, SGPS, S.A.",2017-12-21,0.47
"PHAROL, SGPS, S.A.",2017-12-20,0.5
"PHAROL, SGPS, S.A.",2017-11-29,0.6
"PHAROL, SGPS, S.A.",2017-11-16,0.51
"PHAROL, SGPS, S.A.",2017-09-18,0.46
"PHAROL, SGPS, S.A.",2017-09-15,0.63
"PHAROL, SGPS, S.A.",2017-09-14,0.78
"PHAROL, SGPS, S.A.",2017-09-13,0.82
"PHAROL, SGPS, S.A.",2017-09-06,0.99
"PHAROL, SGPS, S.A.",2017-09-04,1.08
"PHAROL, SGPS, S.A.",2017-09-01,1.57
"PHAROL, SGPS, S.A.",2017-08-15,1.67
"PHAROL, SGPS, S.A.",2017-07-27,1.78
"PHAROL, SGPS, S.A.",2017-07-20,1.74
"PHAROL, SGPS, S.A.",2017-06-26,1.84
"PHAROL, SGPS, S.A.",2017-06-02,1.85
"PHAROL, SGPS, S.A.",2017-05-25,1.76
"PHAROL, SGPS, S.A.",2017-05-18,1.15
"PHAROL, SGPS, S.A.",2017-05-15,1
"PHAROL, SGPS, S.A.",2017-05-11,0.94
"PHAROL, SGPS, S.A.",2017-05-08,0.8
"PHAROL, SGPS, S.A.",2017-05-05,0.74
"PHAROL, SGPS, S.A.",2017-05-02,0.6
"PHAROL, SGPS, S.A.",2017-04-27,0.51
"PHAROL, SGPS, S.A.",2017-02-03,0.49
"PHAROL, SGPS, S.A.",2016-12-30,0.59
"PHAROL, SGPS, S.A.",2016-12-22,0.98
"PHAROL, SGPS, S.A.",2016-12-21,1.08
"PHAROL, SGPS, S.A.",2016-10-20,1.28
"PHAROL, SGPS, S.A.",2016-09-26,1.3
"PHAROL, SGPS, S.A.",2016-09-15,1.4
"PHAROL, SGPS, S.A.",2016-09-14,1.38
"PHAROL, SGPS, S.A.",2016-09-07,1.46
"PHAROL, SGPS, S.A.",2016-09-06,1.47
"PHAROL, SGPS, S.A.",2016-08-30,1.59
"PHAROL, SGPS, S.A.",2016-08-09,1.69
"PHAROL, SGPS, S.A.",2016-06-27,1.7
"PHAROL, SGPS, S.A.",2016-06-23,1.6
"PHAROL, SGPS, S.A.",2016-06-20,1.5
"PHAROL, SGPS, S.A.",2016-06-03,1.4
"PHAROL, SGPS, S.A.",2016-06-01,1.39
"PHAROL, SGPS, S.A.",2016-05-31,1.47
"PHAROL, SGPS, S.A.",2016-05-25,1.38
"PHAROL, SGPS, S.A.",2016-05-24,1.5
"PHAROL, SGPS, S.A.",2016-04-25,1.4
"PHAROL, SGPS, S.A.",2016-04-21,0.89
"PHAROL, SGPS, S.A.",2016-03-24,0.91
"PHAROL, SGPS, S.A.",2016-03-10,0.81
"PHAROL, SGPS, S.A.",2016-03-07,0.7
"PHAROL, SGPS, S.A.",2016-03-04,1.17
"PHAROL, SGPS, S.A.",2016-03-03,0.98
"PHAROL, SGPS, S.A.",2016-03-01,1.5
"PHAROL, SGPS, S.A.",2016-02-29,1.58
"PHAROL, SGPS, S.A.",2016-02-25,2
"PHAROL, SGPS, S.A.",2016-02-23,1.09
"PHAROL, SGPS, S.A.",2016-02-18,1.17
"PHAROL, SGPS, S.A.",2016-01-13,1.2
"PHAROL, SGPS, S.A.",2015-12-31,1.16
"PHAROL, SGPS, S.A.",2015-11-10,1.22
"PHAROL, SGPS, S.A.",2015-10-22,1.17
"PHAROL, SGPS, S.A.",2015-10-12,1.28
"PHAROL, SGPS, S.A.",2015-10-07,1.38
"PHAROL, SGPS, S.A.",2015-10-01,1.48
"PHAROL, SGPS, S.A.",2015-09-30,1.5
"PHAROL, SGPS, S.A.",2015-09-17,1.49
"PHAROL, SGPS, S.A.",2015-09-10,1.58
"PHAROL, SGPS, S.A.",2015-09-07,1.62
"PHAROL, SGPS, S.A.",2015-08-21,1.5
"PHAROL, SGPS, S.A.",2015-08-20,1.49
"PHAROL, SGPS, S.A.",2015-08-19,1.53
"PHAROL, SGPS, S.A.",2015-08-14,1.47
"PHAROL, SGPS, S.A.",2015-08-13,1.5
"PHAROL, SGPS, S.A.",2015-08-11,1.41
"PHAROL, SGPS, S.A.",2015-08-06,1.32
"PHAROL, SGPS, S.A.",2015-08-03,1.21
"PHAROL, SGPS, S.A.",2015-07-31,1.11
"PHAROL, SGPS, S.A.",2015-07-28,1.57
"PHAROL, SGPS, S.A.",2015-07-24,1.53
"PHAROL, SGPS, S.A.",2015-07-20,1.43
"PHAROL, SGPS, S.A.",2015-07-15,1.34
"PHAROL, SGPS, S.A.",2015-07-09,1.23
"PHAROL, SGPS, S.A.",2015-07-06,1.12
"PHAROL, SGPS, S.A.",2015-07-01,0.5
"PHAROL, SGPS, S.A.",2015-06-19,0.67
"PHAROL, SGPS, S.A.",2015-06-18,1.19
"PHAROL, SGPS, S.A.",2015-06-17,1.38
"PHAROL, SGPS, S.A.",2015-06-16,1.63
"PHAROL, SGPS, S.A.",2015-06-15,1.81
"PHAROL, SGPS, S.A.",2015-06-12,2.09
"PHAROL, SGPS, S.A.",2015-06-04,2.21
"PHAROL, SGPS, S.A.",2015-06-01,2.38
"PHAROL, SGPS, S.A.",2015-05-29,2.73
"PHAROL, SGPS, S.A.",2015-05-27,2.97
"PHAROL, SGPS, S.A.",2015-05-26,3.02
"PHAROL, SGPS, S.A.",2015-05-22,3.17
"PHAROL, SGPS, S.A.",2015-05-21,3.3
"PHAROL, SGPS, S.A.",2015-05-20,3.45
"PHAROL, SGPS, S.A.",2015-05-19,3.62
"PHAROL, SGPS, S.A.",2015-05-18,3.95
"PHAROL, SGPS, S.A.",2015-05-15,4.09
"PHAROL, SGPS, S.A.",2015-05-14,4.74
"PHAROL, SGPS, S.A.",2015-05-13,4.96
"PHAROL, SGPS, S.A.",2015-05-12,5.28
"PHAROL, SGPS, S.A.",2015-05-11,5.34
"PHAROL, SGPS, S.A.",2015-04-30,5.49
"PHAROL, SGPS, S.A.",2015-04-29,4.97
"PHAROL, SGPS, S.A.",2015-04-28,5.03
"PHAROL, SGPS, S.A.",2015-04-24,5.1
"PHAROL, SGPS, S.A.",2015-04-23,5.69
"PHAROL, SGPS, S.A.",2015-04-22,5.74
"PHAROL, SGPS, S.A.",2015-04-20,5.97
"PHAROL, SGPS, S.A.",2015-04-17,6
"PHAROL, SGPS, S.A.",2015-04-16,6.14
"PHAROL, SGPS, S.A.",2015-03-18,6.23
"PHAROL, SGPS, S.A.",2015-03-17,6.3
"PHAROL, SGPS, S.A.",2015-03-06,6.82
"PHAROL, SGPS, S.A.",2015-02-19,6.93
"PHAROL, SGPS, S.A.",2015-02-10,7.07
"PHAROL, SGPS, S.A.",2015-02-09,7.04
"PHAROL, SGPS, S.A.",2015-02-06,6.95
"PHAROL, SGPS, S.A.",2015-02-04,6.69
"PHAROL, SGPS, S.A.",2015-02-03,6.64
"PHAROL, SGPS, S.A.",2015-01-30,6.38
"PHAROL, SGPS, S.A.",2015-01-29,6.2
"PHAROL, SGPS, S.A.",2015-01-28,6.24
"PHAROL, SGPS, S.A.",2015-01-27,6.15
"PHAROL, SGPS, S.A.",2015-01-26,5.9
"PHAROL, SGPS, S.A.",2015-01-23,5.73
"PHAROL, SGPS, S.A.",2015-01-19,4.58
"PHAROL, SGPS, S.A.",2015-01-16,4.34
"PHAROL, SGPS, S.A.",2015-01-07,3.77
"PHAROL, SGPS, S.A.",2015-01-06,3.79
"PHAROL, SGPS, S.A.",2015-01-05,3.7
"PHAROL, SGPS, S.A.",2014-12-18,3.29
"PHAROL, SGPS, S.A.",2014-12-17,2.75
"PHAROL, SGPS, S.A.",2014-12-16,2.86
"PHAROL, SGPS, S.A.",2014-12-15,2.95
"PHAROL, SGPS, S.A.",2014-12-05,3.09
"PHAROL, SGPS, S.A.",2014-12-03,3.46
"PHAROL, SGPS, S.A.",2014-12-01,3.62
"PHAROL, SGPS, S.A.",2014-11-27,3.71
"PHAROL, SGPS, S.A.",2014-11-26,3.91
"PHAROL, SGPS, S.A.",2014-11-25,4.69
"PHAROL, SGPS, S.A.",2014-11-24,5.62
"PHAROL, SGPS, S.A.",2014-11-18,5.75
"PHAROL, SGPS, S.A.",2014-11-17,5.8
"PHAROL, SGPS, S.A.",2014-11-14,5.2
"PHAROL, SGPS, S.A.",2014-11-13,5.06
"PHAROL, SGPS, S.A.",2014-11-12,4.87
"PHAROL, SGPS, S.A.",2014-11-11,4.73
"PHAROL, SGPS, S.A.",2014-11-10,4.48
"PHAROL, SGPS, S.A.",2014-11-06,4.34
"PHAROL, SGPS, S.A.",2014-11-04,4.2
"PHAROL, SGPS, S.A.",2014-10-31,4.09
"PHAROL, SGPS, S.A.",2014-10-29,4.47
"PHAROL, SGPS, S.A.",2014-10-22,4.63
"PHAROL, SGPS, S.A.",2014-10-21,4.85
"PHAROL, SGPS, S.A.",2014-10-20,5.52
"PHAROL, SGPS, S.A.",2014-10-15,4.98
"PHAROL, SGPS, S.A.",2014-10-14,5.42
"PHAROL, SGPS, S.A.",2014-10-13,5.51
"PHAROL, SGPS, S.A.",2014-10-10,5.74
"PHAROL, SGPS, S.A.",2014-10-08,5.88
"PHAROL, SGPS, S.A.",2014-10-06,5.78
"PHAROL, SGPS, S.A.",2014-10-03,5.74
"PHAROL, SGPS, S.A.",2014-10-02,5.55
"PHAROL, SGPS, S.A.",2014-09-30,5.37
"PHAROL, SGPS, S.A.",2014-09-25,5.12
"PHAROL, SGPS, S.A.",2014-09-24,5.86
"PHAROL, SGPS, S.A.",2014-09-23,5.96
"PHAROL, SGPS, S.A.",2014-09-22,5.98
"PHAROL, SGPS, S.A.",2014-09-16,5.47
"PHAROL, SGPS, S.A.",2014-09-15,5.62
"PHAROL, SGPS, S.A.",2014-09-11,5.76
"PHAROL, SGPS, S.A.",2014-09-10,5.66
"PHAROL, SGPS, S.A.",2014-09-08,5.56
"PHAROL, SGPS, S.A.",2014-09-05,5.43
"PHAROL, SGPS, S.A.",2014-08-28,5.17
"PHAROL, SGPS, S.A.",2014-08-04,5.09
"PHAROL, SGPS, S.A.",2014-08-01,5.57
"PHAROL, SGPS, S.A.",2014-07-31,5.91
"PHAROL, SGPS, S.A.",2014-07-30,6.19
"PHAROL, SGPS, S.A.",2014-07-29,6.29
"PHAROL, SGPS, S.A.",2014-07-28,6.46
"PHAROL, SGPS, S.A.",2014-07-25,6.23
"PHAROL, SGPS, S.A.",2014-07-24,6.66
"PHAROL, SGPS, S.A.",2014-07-23,6.77
"PHAROL, SGPS, S.A.",2014-07-22,6.9
"PHAROL, SGPS, S.A.",2014-07-18,7.01
"PHAROL, SGPS, S.A.",2014-07-17,7.06
"PHAROL, SGPS, S.A.",2014-07-16,7.78
"PHAROL, SGPS, S.A.",2014-07-15,7.17
"PHAROL, SGPS, S.A.",2014-07-14,6.89
"PHAROL, SGPS, S.A.",2014-07-11,7.15
"PHAROL, SGPS, S.A.",2014-07-10,6.44
"PHAROL, SGPS, S.A.",2014-07-09,6.62
"PHAROL, SGPS, S.A.",2014-07-08,5.95
"PHAROL, SGPS, S.A.",2014-07-07,6.51
"PHAROL, SGPS, S.A.",2014-07-04,5.87
"PHAROL, SGPS, S.A.",2014-07-03,5.06
"PHAROL, SGPS, S.A.",2014-06-27,5.07
"PHAROL, SGPS, S.A.",2014-06-26,5.53
"PHAROL, SGPS, S.A.",2014-06-25,5.86
"PHAROL, SGPS, S.A.",2014-06-24,6.18
"PHAROL, SGPS, S.A.",2014-06-23,6.64
"PHAROL, SGPS, S.A.",2014-06-20,6.91
"PHAROL, SGPS, S.A.",2014-06-19,7.05
"PHAROL, SGPS, S.A.",2014-06-18,7.24
"PHAROL, SGPS, S.A.",2014-06-17,7.47
"PHAROL, SGPS, S.A.",2014-06-16,7.58
"PHAROL, SGPS, S.A.",2014-06-12,7.86
"PHAROL, SGPS, S.A.",2014-06-11,7.73
"PHAROL, SGPS, S.A.",2014-06-10,7.94
"PHAROL, SGPS, S.A.",2014-06-06,8.04
"PHAROL, SGPS, S.A.",2014-06-05,8.49
"PHAROL, SGPS, S.A.",2014-05-21,8.6
"PHAROL, SGPS, S.A.",2014-05-19,8.5
"PHAROL, SGPS, S.A.",2014-05-16,8.56
"PHAROL, SGPS, S.A.",2014-05-13,8.67
"PHAROL, SGPS, S.A.",2014-05-08,8.48
"PHAROL, SGPS, S.A.",2014-05-06,8.59
"PHAROL, SGPS, S.A.",2014-05-05,8.61
"PHAROL, SGPS, S.A.",2014-04-30,8.03
"PHAROL, SGPS, S.A.",2014-04-29,7.96
"PHAROL, SGPS, S.A.",2014-04-28,7.62
"PHAROL, SGPS, S.A.",2014-04-25,7.5
"PHAROL, SGPS, S.A.",2014-04-24,6.62
"PHAROL, SGPS, S.A.",2014-04-23,6.58
"PHAROL, SGPS, S.A.",2014-04-22,5.88
"PHAROL, SGPS, S.A.",2014-04-17,5.24
"PHAROL, SGPS, S.A.",2014-04-15,5.14
"PHAROL, SGPS, S.A.",2014-04-11,5.05
"PHAROL, SGPS, S.A.",2014-04-09,4.94
"PHAROL, SGPS, S.A.",2014-03-27,4.42
"PHAROL, SGPS, S.A.",2014-03-26,4.28
"PHAROL, SGPS, S.A.",2014-03-25,3.99
"PHAROL, SGPS, S.A.",2014-03-24,3.9
"PHAROL, SGPS, S.A.",2014-03-21,3.81
"PHAROL, SGPS, S.A.",2014-03-18,3.39
"PHAROL, SGPS, S.A.",2014-03-14,3.48
"PHAROL, SGPS, S.A.",2014-03-10,3.53
"PHAROL, SGPS, S.A.",2014-03-07,3.99
"PHAROL, SGPS, S.A.",2014-02-26,4.04
"PHAROL, SGPS, S.A.",2014-02-21,3.91
"PHAROL, SGPS, S.A.",2014-02-20,3.37
"PHAROL, SGPS, S.A.",2014-02-13,2.84
"PHAROL, SGPS, S.A.",2014-02-10,2.94
"PHAROL, SGPS, S.A.",2014-02-06,3.04
"PHAROL, SGPS, S.A.",2014-02-03,3.06
"PHAROL, SGPS, S.A.",2014-01-22,2.94
"PHAROL, SGPS, S.A.",2014-01-20,2.85
"PHAROL, SGPS, S.A.",2014-01-17,3.06
"PHAROL, SGPS, S.A.",2014-01-15,2.85
"PHAROL, SGPS, S.A.",2014-01-13,2.76
"PHAROL, SGPS, S.A.",2014-01-09,2.65
"PHAROL, SGPS, S.A.",2014-01-08,2.96
"PHAROL, SGPS, S.A.",2014-01-07,3.18
"PHAROL, SGPS, S.A.",2014-01-06,3.32
"PHAROL, SGPS, S.A.",2014-01-03,3.74
"PHAROL, SGPS, S.A.",2013-12-20,4.56
"PHAROL, SGPS, S.A.",2013-12-18,4.53
"PHAROL, SGPS, S.A.",2013-12-11,4.55
"PHAROL, SGPS, S.A.",2013-12-10,4.13
"PHAROL, SGPS, S.A.",2013-12-04,4.33
"PHAROL, SGPS, S.A.",2013-11-29,4.7
"PHAROL, SGPS, S.A.",2013-11-27,4.8
"PHAROL, SGPS, S.A.",2013-11-26,4.88
"PHAROL, SGPS, S.A.",2013-11-25,4.76
"PHAROL, SGPS, S.A.",2013-11-21,4.66
"PHAROL, SGPS, S.A.",2013-11-18,3.97
"PHAROL, SGPS, S.A.",2013-10-29,3.96
"PHAROL, SGPS, S.A.",2013-10-25,3.77
"PHAROL, SGPS, S.A.",2013-10-24,4.17
"PHAROL, SGPS, S.A.",2013-10-11,4.18
"PHAROL, SGPS, S.A.",2013-10-09,4.08
"PHAROL, SGPS, S.A.",2013-10-04,4.21
"PHAROL, SGPS, S.A.",2013-10-03,4.61
"PHAROL, SGPS, S.A.",2013-10-02,5.17
"PHAROL, SGPS, S.A.",2013-10-01,6.31
"PHAROL, SGPS, S.A.",2013-09-26,6.25
"PHAROL, SGPS, S.A.",2013-09-23,6.26
"PHAROL, SGPS, S.A.",2013-09-13,6.25
"PHAROL, SGPS, S.A.",2013-09-12,6.08
"PHAROL, SGPS, S.A.",2013-09-10,6.09
"PHAROL, SGPS, S.A.",2013-09-09,6.46
"PHAROL, SGPS, S.A.",2013-09-06,6.52
"PHAROL, SGPS, S.A.",2013-09-05,6.61
"PHAROL, SGPS, S.A.",2013-09-04,6.71
"PHAROL, SGPS, S.A.",2013-08-30,6.52
"PHAROL, SGPS, S.A.",2013-08-29,6.39
"PHAROL, SGPS, S.A.",2013-08-23,6.37
"PHAROL, SGPS, S.A.",2013-08-22,6.33
"PHAROL, SGPS, S.A.",2013-08-15,5.21
"PHAROL, SGPS, S.A.",2013-08-14,5.03
"PHAROL, SGPS, S.A.",2013-08-08,3.88
"PHAROL, SGPS, S.A.",2013-08-05,3.76
"PHAROL, SGPS, S.A.",2013-08-01,3.75
"PHAROL, SGPS, S.A.",2013-07-30,3.84
"PHAROL, SGPS, S.A.",2013-07-25,3.75
"PHAROL, SGPS, S.A.",2013-07-24,3.84
"PHAROL, SGPS, S.A.",2013-07-23,3.73
"PHAROL, SGPS, S.A.",2013-07-17,3.77
"PHAROL, SGPS, S.A.",2013-07-15,3.72
"PHAROL, SGPS, S.A.",2013-07-09,3.65
"PHAROL, SGPS, S.A.",2013-07-02,3.68
"PHAROL, SGPS, S.A.",2013-06-28,2.98
"PHAROL, SGPS, S.A.",2013-06-25,2.89
"PHAROL, SGPS, S.A.",2013-06-21,2.36
"PHAROL, SGPS, S.A.",2013-06-06,2.17
"PHAROL, SGPS, S.A.",2013-06-05,2.58
"PHAROL, SGPS, S.A.",2013-06-04,2.78
"PHAROL, SGPS, S.A.",2013-06-03,2.88
"PHAROL, SGPS, S.A.",2013-05-31,3.11
"PHAROL, SGPS, S.A.",2013-05-30,2.95
"PHAROL, SGPS, S.A.",2013-05-29,2.35
"PHAROL, SGPS, S.A.",2013-05-28,2.27
"PHAROL, SGPS, S.A.",2013-05-17,1.76
"PHAROL, SGPS, S.A.",2013-05-15,1.68
"PHAROL, SGPS, S.A.",2013-04-30,1.53
"PHAROL, SGPS, S.A.",2013-04-22,0.92
"PHAROL, SGPS, S.A.",2013-04-19,1.39
"PHAROL, SGPS, S.A.",2013-04-05,1.42
"PHAROL, SGPS, S.A.",2013-03-11,0.92
"PHAROL, SGPS, S.A.",2013-03-08,1.41
"PHAROL, SGPS, S.A.",2013-03-06,1.42
"PHAROL, SGPS, S.A.",2013-01-14,0.92
"PHAROL, SGPS, S.A.",2013-01-11,0.86
"PHAROL, SGPS, S.A.",2013-01-07,0.7
"PHAROL, SGPS, S.A.",2013-01-02,0.62
"PHAROL, SGPS, S.A.",2012-12-12,0.57
"REN -  Redes Energéticas Nacionais, SGPS, SA",2022-10-26,0.74
"REN -  Redes Energéticas Nacionais, SGPS, SA",2022-05-23,0.6
"REN -  Redes Energéticas Nacionais, SGPS, SA",2022-03-08,0.58
"REN -  Redes Energéticas Nacionais, SGPS, SA",2022-01-12,0.67
"REN -  Redes Energéticas Nacionais, SGPS, SA",2022-01-11,0.7
"REN -  Redes Energéticas Nacionais, SGPS, SA",2021-12-29,0.85
"REN -  Redes Energéticas Nacionais, SGPS, SA",2021-12-09,0.99
"REN -  Redes Energéticas Nacionais, SGPS, SA",2021-10-18,1.11
"REN -  Redes Energéticas Nacionais, SGPS, SA",2020-06-04,1.02
"REN -  Redes Energéticas Nacionais, SGPS, SA",2020-06-02,0.95
"REN -  Redes Energéticas Nacionais, SGPS, SA",2020-05-18,0.81
"REN -  Redes Energéticas Nacionais, SGPS, SA",2020-05-08,0.7
"REN -  Redes Energéticas Nacionais, SGPS, SA",2020-05-04,0.51
"REN -  Redes Energéticas Nacionais, SGPS, SA",2020-02-03,0.49
"REN -  Redes Energéticas Nacionais, SGPS, SA",2020-01-14,0.54
"REN -  Redes Energéticas Nacionais, SGPS, SA",2020-01-10,0.68
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-11-07,0.79
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-09-16,0.86
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-08-09,1.35
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-08-08,1.47
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-08-06,1.48
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-07-09,0.98
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-06-19,1.07
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-06-10,1.18
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-06-03,1.22
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-04-30,1.37
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-04-17,1.48
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-01-28,1.59
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-01-25,2.08
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-01-09,2.58
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-01-08,2.68
"REN -  Redes Energéticas Nacionais, SGPS, SA",2019-01-04,2.83
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-12-14,2.97
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-11-27,2.47
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-11-22,2.69
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-24,2.79
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-19,2.7
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-11,2.6
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-03,2.7
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-10-01,2.59
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-09-19,2.54
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-09-06,2.63
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-09-04,2.74
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-08-28,3.22
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-08-09,3.25
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-08-03,3.16
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-08-02,3.26
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-07-12,3.24
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-07-02,3.28
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-29,3.38
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-27,3.58
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-26,3.63
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-12,3.1
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-04,3
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-06-01,2.93
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-31,2.87
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-30,2.96
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-24,2.85
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-23,2.76
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-05-22,2.63
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-04-03,2.1
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-02-26,2.01
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-01-16,1.97
"REN -  Redes Energéticas Nacionais, SGPS, SA",2018-01-03,2.07
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-13,2.13
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-12,4.23
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-08,3.73
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-05,3.94
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-04,4.26
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-12-01,4.3
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-11-30,4.2
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-11-29,4.02
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-11-14,3.45
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-11-07,3.34
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-10-31,3.24
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-10-17,3.15
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-10-16,3.03
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-09-08,2.93
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-06-27,2.72
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-06-23,2.22
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-06-22,2.14
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-06-08,2.01
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-05-24,1.94
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-05-12,1.82
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-05-02,1.74
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-04-27,1.61
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-03-24,1.43
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-03-16,1.92
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-03-07,2
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-03-06,2.03
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-02-01,1.9
"REN -  Redes Energéticas Nacionais, SGPS, SA",2017-01-26,1.89
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-12-09,1.79
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-12-02,1.8
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-12-01,1.71
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-11-14,1.7
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-11-02,1.62
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-10-27,2.13
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-10-14,2.14
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-09-28,2.09
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-08-24,1.59
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-08-11,1.48
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-07-07,1.51
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-06-23,1.44
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-05-23,0.94
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-05-18,0.83
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-04-21,0.76
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-03-31,0.62
"REN -  Redes Energéticas Nacionais, SGPS, SA",2016-02-02,0.5
"Sonae - SGPS, S.A.",2017-12-28,0.49
"Sonae - SGPS, S.A.",2017-11-24,0.5
"Sonae - SGPS, S.A.",2017-11-16,0.49
"Sonae - SGPS, S.A.",2017-11-02,0.58
"Sonae - SGPS, S.A.",2017-10-09,0.69
"Sonae - SGPS, S.A.",2017-09-15,0.79
"Sonae - SGPS, S.A.",2017-08-23,0.89
"Sonae - SGPS, S.A.",2017-07-27,0.98
"Sonae - SGPS, S.A.",2017-07-13,1.01
"Sonae - SGPS, S.A.",2017-07-05,0.91
"Sonae - SGPS, S.A.",2017-06-27,0.82
"Sonae - SGPS, S.A.",2017-06-20,0.73
"Sonae - SGPS, S.A.",2017-06-14,0.61
"Sonae - SGPS, S.A.",2017-06-08,0.53
